   BENCHMARK INFORMATION
benchmark:          draft
date:               Wed, 2016-04-27 12:17:28 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
systemc/transmitter.11.BUG.c      false(reach)                 39.46       39.50        None   18.403s    0.041s      None
systemc/transmitter.12.BUG.c      false(reach)                 23.24       23.27        None   12.352s    0.012s      None
systemc/transmitter.15.BUG.c      false(reach)                 22.22       22.23        None   11.440s    0.027s      None
systemc/transmitter.16.BUG.c      false(reach)                 27.04       27.07        None   13.414s    0.031s      None
drivers64/drbd.BUG.c              unknown                     902.94      903.00        None  900.259s    0.012s      None
drivers64/farsync.BUG.c           unknown                     919.72      919.68        None  900.158s    0.247s      None
drivers64/gigaset.BUG.c           unknown                     925.87      927.35        None  900.341s    0.446s      None
drivers64/i915.c                  ERROR                        24.50       24.52        None   18.879s      None      None
drivers64/iowarrior.BUG.c         unknown                     907.55      907.96        None  900.868s    0.045s      None
drivers64/kbtab.c                 unknown                     902.77      903.14        None  900.699s    0.011s      None
drivers64/keyspan_remote.BUG.c    unknown                     902.55      902.81        None  900.509s    0.023s      None
drivers64/lirc_imon.BUG.c         unknown                    2074.87     2074.92        None  900.182s    0.163s      None
drivers64/loop.BUG.c              unknown                     940.24      940.45        None  900.342s    0.596s      None
drivers64/mISDN_core.BUG.c        unknown                     922.23      922.34        None  900.904s    0.066s      None
drivers64/pktcdvd.BUG.c           unknown                     903.03      903.25        None  900.584s    0.029s      None
drivers64/ppp_generic.BUG.c       unknown                     914.73      914.82        None  900.255s    0.308s      None
drivers64/pppox.c                 unknown                     908.57      908.56        None  900.196s    0.017s      None
drivers64/synclink_gt.BUG.c       unknown                     916.78      916.83        None  900.252s    0.345s      None
drivers64/ttusb_dec.BUG.c         unknown                     904.37      905.25        None  901.251s    0.022s      None
drivers64/usbcore.BUG.c           unknown                     903.26      903.17        None  900.127s    0.011s      None
drivers64/usbmouse.BUG.c          unknown                     903.07      903.64        None  900.555s    0.013s      None
--------------------------------------------------------------------------------------------------------------------------
Run set 5                         done                      40777.90    40797.40           -


   BENCHMARK INFORMATION
benchmark:          draft
date:               Tue, 2016-04-26 18:46:29 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6 with options '-heap 12000M -setprop assumptions.automatonFile=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton -setprop limits.time.cpu=900s -config ${sourcefile_path}/../../../test-configs/generate/explicitAnalysis-generate-assumption.properties -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               true                          3.04        3.15        None    2.054s    0.007s      None
systemc/kundu.c                   true                         12.08       12.10        None    6.151s    0.090s      None
systemc/kundu1_BUG.c              false(reach)                  5.83        5.87        None    3.522s    0.007s      None
